Sr.No,District (Amphoe),Province (Changwat).,Region
855,Wiang Haeng,Chiang Mai,North
856,Wiang Kaen,Chiang Rai,North
857,Wiang Kao,Khon Kaen,North-East
858,Wiang Nong Long,Lamphun,North
859,Wiang Pa Pao,Chiang Rai,North
860,Wiang Sa,Nan,North
861,Wiang Sa,Surat Thani,South
862,Wichian Buri,Phetchabun,Central
863,Wihan Daeng,Saraburi,Central
864,Wiset Chai Chan,Ang Thong,Central
865,Yaha,Yala,South
866,Yan Ta Khao,Trang,South
867,Yang Chum Noi,Sisaket,North-East
868,Yang Sisurat,Maha Sarakham,North-East
869,Yang Talat,Kalasin,North-East
870,Yarang,Pattani,South
871,Yaring (Malay: Jamu),Pattani,South
872,Yi-ngo (Malay: Jeringo),Narathiwat,South
873,Mueang Yasothon,Yasothon,North-East
874,Sai Mun,Yasothon,North-East
875,Kut Chum,Yasothon,North-East
876,Kham Khuean Kaeo,Yasothon,North-East
877,Pa Tio,Yasothon,North-East
878,Maha Chana Chai,Yasothon,North-East
879,Kho Wang,Yasothon,North-East
880,Loeng Nok Tha,Yasothon,North-East
881,Thai Charoen,Yasothon,North-East
,,,
For more other formats kindly visit www.downloadexcelfiles.com,,,
